Company Name,SCM Practices,Supplier Count,Inventory Turnover Ratio,Lead Time (days),Order Fulfillment Rate (%),Customer Satisfaction (%),Technology Utilized,Environmental Impact Score,Supply Chain Agility,Supplier Lead Time Variability (days),Inventory Accuracy (%),Transportation Cost Efficiency (%),Supply Chain Integration Level,Sustainability Practices,Supply Chain Complexity Index,Cost of Goods Sold (COGS),Operational Efficiency Score,Revenue Growth Rate out of (15),Supply Chain Risk (%),Supplier Collaboration Level,Supply Chain Resilience Score,Supplier Relationship Score,Total Implementation Cost,
Alation,Vendor Managed Inventory,150,4,11,91,90,"ERP, AI, Blockchain",80,High,3,99,88,High,Advanced,Low,$600B,85,11,10,High,88,85,"$1,079,601 ",
Trifacta,Vendor Managed Inventory,100,4.2,12,91,89,"ERP, AI, Blockchain",80,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85,"$46,977,875 ",
Reltio,Vendor Managed Inventory,100,4.5,10,90,88,"ERP, AI, Blockchain",80,High,3,98,88,High,Advanced,Low,$700B,85,11,8,High,88,85,"$36,634,822 ",
DataRobot,Lean Manufacturing,300,5,22,89,87,"ERP, AI, Blockchain",75,Medium,5,96,85,Medium,Advanced,Medium,$900B,85,9,15,Medium,85,80,"$60,972,985 ",
Dataiku,Lean Manufacturing,400,4.5,18,90,88,"ERP, AI, Robotics",75,High,5,97,85,High,Advanced,Medium,$900B,85,11,10,Medium,85,85,"$89,386,387 ",
Domino Data Lab,Lean Manufacturing,400,4,18,88,85,"ERP, JIT, Robotics",70,High,5,95,85,High,Advanced,Medium,$700B,80,10,12,Medium,85,80,"$95,057,281 ",
Anaconda,Lean Manufacturing,300,5,18,87,85,"ERP, AI, Robotics",75,Medium,6,95,85,Medium,Advanced,Medium,$500B,80,9,15,Medium,85,80,"$28,709,380 ",
Kaggle,Agile SCM,150,5.8,10,93,92,"ERP, AI, Blockchain",75,High,2,98,88,High,Advanced,Medium,$800B,85,10,8,High,90,85,"$95,450,772 ",
MathWorks,Lean Manufacturing,500,5.5,14,90,88,"ERP, AI, Blockchain",70,Medium,4,97,85,Medium,Advanced,Medium,$800B,85,9,12,Medium,85,85,"$9,702,702 ",
RapidMiner,Agile SCM,300,10.5,8,94,89,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,Medium,$700B,85,12,7,High,90,85,"$83,273,069 ",
KNIME,Lean Manufacturing,200,5.8,15,91,90,"ERP, AI, Robotics",,High,5,97,85,Medium,Advanced,Medium,$800B,80,10,12,Medium,85,85,"$14,764,961 ",
H2O.ai,Cross-Docking,"20,000",7,4,95,90,"AI, ERP, Blockchain",,High,1,98,88,High,Advanced,High,$300B,80,12,5,High,90,85,"$72,807,713 ",
Altair,Agile SCM,500,5.2,15,95,88,"ERP, AI, Blockchain",,High,10,95,80,High,Advanced,Medium,$1000B,78,8,12,Medium,88,85,"$105,089,516 ",
OpenAI,Lean Manufacturing,100,6,12,89,91,"ERP, AI, Robotics",,High,4,97,85,High,Advanced,Medium,$400B,80,10,10,Medium,85,80,"$21,104,793 ",
DeepMind,Agile SCM,200,7.2,8,94,88,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,Medium,$600B,85,12,7,High,90,85,"$51,509,698 ",
Element AI,Sustainable SCM,"20,000",6,11,90,91,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,85,9,10,High,87,80,"$30,413,514 ",
Nuro,Agile SCM,400,5.5,9,93,89,"ERP, AI, Blockchain",,High,2,97,88,High,Advanced,Medium,$700B,85,10,7,High,90,85,"$53,386,039 ",
Zoox,Lean Manufacturing,"1,500",7,5,93,90,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$500B,85,11,5,High,90,85,"$48,491,184 ",
Aurora,Agile SCM,200,4.5,10,92,90,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$800B,85,10,8,High,90,85,"$29,702,915 ",
Waymo,Demand-Driven SCM,500,10,10,92,91,"ERP, AI, Blockchain",,High,4,98,85,High,Advanced,Medium,$500B,80,12,8,High,89,85,"$37,709,732 ",
Johnson & Johnson,Agile SCM,300,5,8,94,87,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,Medium,$700B,85,12,7,High,90,85,"$49,007,335 ",
Pfizer,Lean Manufacturing,500,6,20,89,93,"ERP, AI, Blockchain",,Medium,5,96,85,Medium,Advanced,Medium,$900B,80,9,12,Medium,85,80,"$51,757,121 ",
Merck,Agile SCM,250,5,7,98,85,"ERP, AI, Blockchain",,High,1,98,90,High,Advanced,High,$1200B,88,12,3,High,95,90,"$22,383,811 ",
Novartis,Lean Manufacturing,300,4.2,18,87,92,"ERP, AI, Robotics",,Medium,6,95,85,Medium,Advanced,Medium,$500B,80,9,15,Medium,85,80,"$88,146,619 ",
Roche,Agile SCM,250,6.5,9,93,89,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$900B,85,11,8,High,91,85,"$99,967,872 ",
Sanofi,Lean Manufacturing,"10,000",7.5,15,91,89,"ERP, AI, Blockchain",,Medium,5,95,85,Medium,Advanced,Medium,$300B,80,10,10,Medium,85,80,"$33,698,789 ",
GSK,Vendor Managed Inventory,100,5.8,12,91,85,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85,"$91,893,488 ",
AstraZeneca,Efficient Consumer Response,"75,000",5,10,90,85,"ERP, AI, Blockchain",,High,5,96,85,High,Advanced,Medium,$350B,82,11,8,High,87,85,"$101,750,177 ",
AbbVie,Sustainable SCM,"70,000",5.5,12,88,88,"AI, ERP, Blockchain",,Medium,4,97,80,Medium,Advanced,Medium,$400B,75,8,15,Medium,80,78,"$17,541,338 ",
Amgen,Lean Manufacturing,100,6.5,12,89,89,"ERP, AI, Robotics",,High,4,97,85,High,Advanced,Medium,$400B,80,10,10,Medium,85,80,"$34,755,915 ",
Bristol-Myers Squibb,Agile SCM,200,6,12,90,88,"ERP, AI, Blockchain",,High,4,97,85,High,Advanced,Medium,$700B,80,9,8,High,88,85,"$48,518,373 ",
Eli Lilly,Lean Manufacturing,500,5,14,90,90,"ERP, AI, Blockchain",,Medium,4,97,85,Medium,Advanced,Medium,$800B,85,9,12,Medium,85,85,"$100,712,412 ",
Bayer,Agile SCM,300,5.8,10,92,91,"ERP, AI, Blockchain",,High,2,97,85,High,Advanced,Medium,$800B,85,11,8,High,88,85,"$72,931,049 ",
Takeda,Demand-Driven SCM,300,4,10,94,87,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,High,$500B,85,12,7,High,90,85,"$84,302,961 ",
Biogen,Lean Manufacturing,500,4.5,14,88,89,"ERP, AI, Robotics",,High,5,97,85,Medium,Advanced,Medium,$500B,80,10,10,Medium,85,80,"$100,145,810 ",
Regeneron,Agile SCM,400,5.5,8,94,90,"ERP, AI, Blockchain",,High,2,98,85,High,Advanced,Medium,$800B,85,10,5,High,90,85,"$60,303,850 ",
Vertex,Vendor Managed Inventory,150,5.8,11,91,88,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$600B,85,11,10,High,88,85,"$102,912,285 ",
Moderna,Vendor Managed Inventory,100,5.2,10,90,89,"ERP, AI, Blockchain",,High,3,98,88,High,Advanced,Low,$700B,85,11,8,High,88,85,"$61,553,125 ",
Gilead Sciences,Agile SCM,200,4.2,11,90,92,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$600B,85,10,8,High,88,85,"$101,926,049 ",
CSL Behring,Agile SCM,150,8.2,10,93,88,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,Medium,$800B,85,10,8,High,90,85,"$6,404,004 ",
Alcon,Sustainable SCM,"20,000",4.2,11,90,89,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,85,9,10,High,87,80,"$89,165,629 ",
Bausch Health,Vendor Managed Inventory,100,5,12,91,92,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85,"$48,763,533 ",
Illumina,Just-In-Time,"1,300,000",5.8,2,98,89,"AI, Robotics, Blockchain",,High,1,99,88,High,Advanced,High,"$1,500B",85,20,5,High,90,85,"$66,209,792 ",
Thermo Fisher Scientific,Vendor Managed Inventory,200,4,12,91,85,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85,"$92,526,140 ",
Bio-Rad Laboratories,Lean Manufacturing,300,4,18,87,88,"ERP, AI, Robotics",,Medium,6,95,85,Medium,Advanced,Medium,$500B,80,9,15,Medium,85,80,"$16,934,381 ",
PerkinElmer,Lean Manufacturing,100,6,12,89,85,"ERP, AI, Robotics",,High,4,97,85,High,Advanced,Medium,$400B,80,10,10,Medium,85,80,"$67,607,728 ",
Agilent Technologies,Lean Manufacturing,400,4.5,18,88,90,"ERP, JIT, Robotics",,High,5,95,85,High,Advanced,Medium,$700B,80,10,12,Medium,85,80,"$40,657,663 ",
Danaher,Vendor Managed Inventory,150,6.5,11,91,90,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$600B,85,11,10,High,88,85,"$31,146,083 ",
Quest Diagnostics,Agile SCM,150,6,10,92,88,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$900B,85,11,8,High,91,85,"$109,164,721 ",
LabCorp,Vendor Managed Inventory,100,4.2,10,90,90,"ERP, AI, Blockchain",,High,3,98,88,High,Advanced,Low,$700B,85,11,8,High,88,85,"$32,425,302 ",
Siemens Healthineers,Agile SCM,300,4.5,10,92,90,"ERP, AI, Blockchain",,High,2,97,85,High,Advanced,Medium,$800B,85,11,8,High,88,85,"$99,952,218 ",
GE Healthcare,Agile SCM,150,10,10,92,85,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$800B,85,10,8,High,90,85,"$65,432,284 ",
Philips Healthcare,Lean Manufacturing,500,6.2,20,88,88,"ERP, AI, Robotics",,Medium,5,96,85,Medium,Advanced,Medium,$800B,80,10,12,Medium,85,80,"$25,329,098 ",
Medtronic,Lean Manufacturing,400,4.2,18,90,94,"ERP, AI, Robotics",,High,5,97,85,High,Advanced,Medium,$900B,85,11,10,Medium,85,85,"$53,777,025 ",
Abbott Laboratories,Agile SCM,300,5,7,98,91,"AI, ERP, Blockchain",,High,1,98,92,High,Advanced,High,$1500B,90,12,3,High,95,90,"$3,344,770 ",
Boston Scientific,Lean Manufacturing,300,6,10,93,89,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,Medium,$800B,85,10,8,High,90,85,"$21,739,357 ",
Stryker,Vendor Managed Inventory,100,5,12,91,87,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85,"$61,681,550 ",
Zimmer Biomet,Lean Manufacturing,300,5.2,22,89,91,"ERP, AI, Blockchain",,Medium,5,96,85,Medium,Advanced,Medium,$900B,85,9,15,Medium,85,80,"$79,214,743 ",
Intuitive Surgical,Demand-Driven SCM,300,4.2,10,94,89,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,High,$500B,85,12,7,High,90,85,"$80,497,274 ",
Edwards Lifesciences,Lean Manufacturing,"10,000",4.2,15,91,88,"ERP, AI, Blockchain",,Medium,5,95,85,Medium,Advanced,Medium,$300B,80,10,10,Medium,85,80,"$56,024,142 ",
Becton Dickinson,Sustainable SCM,"20,000",5.8,11,90,85,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,85,9,10,High,87,80,"$72,571,675 ",
Hologic,Lean Manufacturing,500,4,20,88,89,"ERP, AI, Robotics",,Medium,5,96,85,Medium,Advanced,Medium,$800B,80,10,12,Medium,85,80,"$107,913,200 ",
ResMed,Vendor Managed Inventory,200,10,12,91,88,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85,"$37,317,457 ",
Dexcom,Lean Manufacturing,100,4,12,89,90,"ERP, AI, Robotics",,High,4,97,85,High,Advanced,Medium,$400B,80,10,10,Medium,85,80,"$48,170,988 ",
Masimo,Vendor Managed Inventory,150,6,11,91,93,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$600B,85,11,10,High,88,85,"$11,609,077 ",
Align Technology,Agile SCM,250,5.2,7,98,85,"ERP, AI, Blockchain",,High,1,98,90,High,Advanced,High,$1200B,88,12,3,High,95,90,"$55,229,239 ",
Cooper Companies,Lean Manufacturing,400,6,18,88,90,"ERP, JIT, Robotics",,High,5,95,85,High,Advanced,Medium,$700B,80,10,12,Medium,85,80,"$50,296,558 ",
Hill-Rom,Agile SCM,200,50,12,91,88,"ERP, AI, Blockchain",,High,3,97,85,High,Advanced,Medium,$800B,85,11,10,High,88,85,"$44,910,238 ",
Teleflex,Sustainable SCM,"20,000",6.2,11,90,85,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,85,9,10,High,87,80,"$81,550,309 ",
Envista Holdings,Lean Manufacturing,500,4.2,14,90,94,"ERP, JIT, Robotics",,High,5,98,85,High,Advanced,Medium,$700B,80,10,10,Medium,85,80,"$79,452,961 ",
